order_id,order_date,product_id,channel,quantity,sales_amount,discount_amount
O-000001,2026-04-22,LR-SHP-001,Naver SmartStore,1,29000.0,0.0
O-000002,2026-04-22,LR-SHP-001,D2C Store,1,24650.0,4350.0
O-000003,2026-04-22,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000004,2026-04-22,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000005,2026-04-22,LR-SHP-001,D2C Store,1,27550.0,1450.0
O-000006,2026-04-22,LR-SHP-001,D2C Store,1,26100.0,2900.0
O-000007,2026-04-22,LR-SHP-001,D2C Store,2,52200.0,5800.0
O-000008,2026-04-22,LR-SHP-001,D2C Store,1,23200.0,5800.0
O-000009,2026-04-22,LR-SHP-001,Kakao Gift,1,29000.0,0.0
O-000010,2026-04-22,LR-SHP-001,Naver SmartStore,1,26100.0,2900.0
O-000011,2026-04-22,LR-SHP-001,D2C Store,1,23200.0,5800.0
O-000012,2026-04-22,LR-SHP-001,Naver SmartStore,1,26100.0,2900.0
O-000013,2026-04-22,LR-SHP-001,Naver SmartStore,2,55100.0,2900.0
O-000014,2026-04-22,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000015,2026-04-22,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000016,2026-04-22,LR-SHP-001,D2C Store,1,27550.0,1450.0
O-000017,2026-04-22,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000018,2026-04-22,LR-SHP-001,Naver SmartStore,2,55100.0,2900.0
O-000019,2026-04-22,LR-SHP-001,D2C Store,1,26100.0,2900.0
O-000020,2026-04-22,LR-SHP-001,Naver SmartStore,1,23200.0,5800.0
O-000021,2026-04-22,LR-SHP-001,Kakao Gift,1,26100.0,2900.0
O-000022,2026-04-22,LR-CND-002,D2C Store,2,54000.0,0.0
O-000023,2026-04-22,LR-CND-002,D2C Store,1,27000.0,0.0
O-000024,2026-04-22,LR-CND-002,D2C Store,3,68850.0,12150.0
O-000025,2026-04-22,LR-CND-002,Kakao Gift,1,27000.0,0.0
O-000026,2026-04-22,LR-CND-002,D2C Store,1,27000.0,0.0
O-000027,2026-04-22,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000028,2026-04-22,LR-CND-002,D2C Store,2,54000.0,0.0
O-000029,2026-04-22,LR-CND-002,D2C Store,3,76950.0,4050.0
O-000030,2026-04-22,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000031,2026-04-22,LR-CND-002,D2C Store,2,54000.0,0.0
O-000032,2026-04-22,LR-CND-002,D2C Store,1,21600.0,5400.0
O-000033,2026-04-22,LR-CND-002,D2C Store,3,68850.0,12150.0
O-000034,2026-04-22,LR-CND-002,D2C Store,2,48600.0,5400.0
O-000035,2026-04-22,LR-CND-002,D2C Store,1,25650.0,1350.0
O-000036,2026-04-22,LR-CND-002,Amazon US,1,27000.0,0.0
O-000037,2026-04-22,LR-CND-002,D2C Store,2,54000.0,0.0
O-000038,2026-04-22,LR-CND-002,Kakao Gift,1,22950.0,4050.0
O-000039,2026-04-22,LR-TRT-003,Naver SmartStore,1,39000.0,0.0
O-000040,2026-04-22,LR-TRT-003,D2C Store,1,35100.0,3900.0
O-000041,2026-04-22,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000042,2026-04-22,LR-TRT-003,Kakao Gift,2,66300.0,11700.0
O-000043,2026-04-22,LR-TRT-003,Kakao Gift,1,39000.0,0.0
O-000044,2026-04-22,LR-TRT-003,D2C Store,3,117000.0,0.0
O-000045,2026-04-22,LR-TRT-003,Naver SmartStore,1,35100.0,3900.0
O-000046,2026-04-22,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000047,2026-04-22,LR-TRT-003,D2C Store,1,33150.0,5850.0
O-000048,2026-04-22,LR-TRT-003,Naver SmartStore,1,37050.0,1950.0
O-000049,2026-04-22,LR-TRT-003,Amazon US,1,39000.0,0.0
O-000050,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000051,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000052,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000053,2026-04-22,LR-OIL-004,D2C Store,1,30400.0,1600.0
O-000054,2026-04-22,LR-OIL-004,D2C Store,2,54400.0,9600.0
O-000055,2026-04-22,LR-OIL-004,D2C Store,1,30400.0,1600.0
O-000056,2026-04-22,LR-OIL-004,D2C Store,1,27200.0,4800.0
O-000057,2026-04-22,LR-OIL-004,Naver SmartStore,1,28800.0,3200.0
O-000058,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000059,2026-04-22,LR-OIL-004,Naver SmartStore,1,32000.0,0.0
O-000060,2026-04-22,LR-OIL-004,D2C Store,1,25600.0,6400.0
O-000061,2026-04-22,LR-OIL-004,Kakao Gift,1,32000.0,0.0
O-000062,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000063,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000064,2026-04-22,LR-OIL-004,Kakao Gift,2,64000.0,0.0
O-000065,2026-04-22,LR-OIL-004,Amazon US,1,32000.0,0.0
O-000066,2026-04-22,LR-OIL-004,Kakao Gift,2,51200.0,12800.0
O-000067,2026-04-22,LR-OIL-004,D2C Store,2,64000.0,0.0
O-000068,2026-04-22,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000069,2026-04-22,LR-OIL-004,D2C Store,1,25600.0,6400.0
O-000070,2026-04-22,LR-MSK-005,Amazon US,1,28800.0,7200.0
O-000071,2026-04-22,LR-MSK-005,D2C Store,1,32400.0,3600.0
O-000072,2026-04-22,LR-MSK-005,D2C Store,1,28800.0,7200.0
O-000073,2026-04-22,LR-MSK-005,D2C Store,1,32400.0,3600.0
O-000074,2026-04-22,LR-MSK-005,Kakao Gift,1,34200.0,1800.0
O-000075,2026-04-22,LR-MSK-005,D2C Store,1,28800.0,7200.0
O-000076,2026-04-22,LR-MSK-005,Naver SmartStore,1,34200.0,1800.0
O-000077,2026-04-22,LR-MSK-005,Kakao Gift,1,36000.0,0.0
O-000078,2026-04-22,LR-MSK-005,Naver SmartStore,1,34200.0,1800.0
O-000079,2026-04-22,LR-MSK-005,D2C Store,1,34200.0,1800.0
O-000080,2026-04-22,LR-MSK-005,Naver SmartStore,2,72000.0,0.0
O-000081,2026-04-22,LR-TON-006,Naver SmartStore,1,31000.0,0.0
O-000082,2026-04-22,LR-TON-006,Naver SmartStore,1,31000.0,0.0
O-000083,2026-04-22,LR-TON-006,Amazon US,1,31000.0,0.0
O-000084,2026-04-22,LR-TON-006,D2C Store,3,93000.0,0.0
O-000085,2026-04-22,LR-TON-006,Kakao Gift,1,26350.0,4650.0
O-000086,2026-04-22,LR-TON-006,D2C Store,2,62000.0,0.0
O-000087,2026-04-22,LR-TON-006,Naver SmartStore,2,55800.0,6200.0
O-000088,2026-04-22,LR-SER-007,D2C Store,1,30600.0,3400.0
O-000089,2026-04-22,LR-SER-007,D2C Store,1,28900.0,5100.0
O-000090,2026-04-22,LR-SER-007,D2C Store,1,34000.0,0.0
O-000091,2026-04-22,LR-SER-007,Naver SmartStore,1,32300.0,1700.0
O-000092,2026-04-22,LR-SER-007,D2C Store,1,32300.0,1700.0
O-000093,2026-04-22,LR-SER-007,Kakao Gift,1,28900.0,5100.0
O-000094,2026-04-22,LR-SER-007,D2C Store,1,34000.0,0.0
O-000095,2026-04-22,LR-SER-007,Naver SmartStore,1,30600.0,3400.0
O-000096,2026-04-22,LR-SER-007,D2C Store,1,30600.0,3400.0
O-000097,2026-04-22,LR-SER-007,D2C Store,1,34000.0,0.0
O-000098,2026-04-22,LR-SER-007,D2C Store,2,57800.0,10200.0
O-000099,2026-04-22,LR-SER-007,D2C Store,2,64600.0,3400.0
O-000100,2026-04-22,LR-SER-007,Kakao Gift,1,34000.0,0.0
O-000101,2026-04-22,LR-SER-007,Kakao Gift,2,57800.0,10200.0
O-000102,2026-04-22,LR-SER-007,D2C Store,1,34000.0,0.0
O-000103,2026-04-22,LR-SER-007,D2C Store,2,57800.0,10200.0
O-000104,2026-04-22,LR-KIT-008,Kakao Gift,1,69000.0,0.0
O-000105,2026-04-22,LR-KIT-008,Naver SmartStore,2,110400.0,27600.0
O-000106,2026-04-22,LR-KIT-008,Naver SmartStore,2,138000.0,0.0
O-000107,2026-04-22,LR-KIT-008,Naver SmartStore,1,58650.0,10350.0
O-000108,2026-04-22,LR-KIT-008,D2C Store,2,124200.0,13800.0
O-000109,2026-04-23,LR-SHP-001,D2C Store,2,49300.0,8700.0
O-000110,2026-04-23,LR-SHP-001,D2C Store,2,58000.0,0.0
O-000111,2026-04-23,LR-SHP-001,D2C Store,2,58000.0,0.0
O-000112,2026-04-23,LR-SHP-001,Kakao Gift,1,29000.0,0.0
O-000113,2026-04-23,LR-SHP-001,Naver SmartStore,3,87000.0,0.0
O-000114,2026-04-23,LR-SHP-001,D2C Store,1,23200.0,5800.0
O-000115,2026-04-23,LR-SHP-001,Amazon US,2,58000.0,0.0
O-000116,2026-04-23,LR-SHP-001,D2C Store,1,23200.0,5800.0
O-000117,2026-04-23,LR-SHP-001,Naver SmartStore,1,29000.0,0.0
O-000118,2026-04-23,LR-SHP-001,D2C Store,1,27550.0,1450.0
O-000119,2026-04-23,LR-SHP-001,D2C Store,1,27550.0,1450.0
O-000120,2026-04-23,LR-SHP-001,Kakao Gift,1,29000.0,0.0
O-000121,2026-04-23,LR-SHP-001,Naver SmartStore,1,26100.0,2900.0
O-000122,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000123,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000124,2026-04-23,LR-SHP-001,D2C Store,2,52200.0,5800.0
O-000125,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000126,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000127,2026-04-23,LR-SHP-001,Kakao Gift,3,82650.0,4350.0
O-000128,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000129,2026-04-23,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000130,2026-04-23,LR-SHP-001,D2C Store,1,27550.0,1450.0
O-000131,2026-04-23,LR-CND-002,D2C Store,1,27000.0,0.0
O-000132,2026-04-23,LR-CND-002,D2C Store,2,48600.0,5400.0
O-000133,2026-04-23,LR-CND-002,Naver SmartStore,1,25650.0,1350.0
O-000134,2026-04-23,LR-CND-002,Naver SmartStore,1,24300.0,2700.0
O-000135,2026-04-23,LR-CND-002,D2C Store,1,27000.0,0.0
O-000136,2026-04-23,LR-CND-002,D2C Store,1,27000.0,0.0
O-000137,2026-04-23,LR-CND-002,D2C Store,2,54000.0,0.0
O-000138,2026-04-23,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000139,2026-04-23,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000140,2026-04-23,LR-CND-002,Naver SmartStore,1,24300.0,2700.0
O-000141,2026-04-23,LR-CND-002,D2C Store,1,27000.0,0.0
O-000142,2026-04-23,LR-CND-002,D2C Store,3,76950.0,4050.0
O-000143,2026-04-23,LR-CND-002,D2C Store,1,24300.0,2700.0
O-000144,2026-04-23,LR-CND-002,Amazon US,2,51300.0,2700.0
O-000145,2026-04-23,LR-CND-002,Kakao Gift,1,21600.0,5400.0
O-000146,2026-04-23,LR-TRT-003,D2C Store,1,35100.0,3900.0
O-000147,2026-04-23,LR-TRT-003,D2C Store,2,70200.0,7800.0
O-000148,2026-04-23,LR-TRT-003,Naver SmartStore,1,39000.0,0.0
O-000149,2026-04-23,LR-TRT-003,Naver SmartStore,2,74100.0,3900.0
O-000150,2026-04-23,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000151,2026-04-23,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000152,2026-04-23,LR-TRT-003,Naver SmartStore,1,39000.0,0.0
O-000153,2026-04-23,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000154,2026-04-23,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000155,2026-04-23,LR-OIL-004,Naver SmartStore,1,27200.0,4800.0
O-000156,2026-04-23,LR-OIL-004,Naver SmartStore,1,27200.0,4800.0
O-000157,2026-04-23,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000158,2026-04-23,LR-OIL-004,Amazon US,2,54400.0,9600.0
O-000159,2026-04-23,LR-OIL-004,D2C Store,1,28800.0,3200.0
O-000160,2026-04-23,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000161,2026-04-23,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000162,2026-04-23,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000163,2026-04-23,LR-OIL-004,Naver SmartStore,1,32000.0,0.0
O-000164,2026-04-23,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000165,2026-04-23,LR-OIL-004,D2C Store,1,30400.0,1600.0
O-000166,2026-04-23,LR-MSK-005,D2C Store,1,36000.0,0.0
O-000167,2026-04-23,LR-MSK-005,Naver SmartStore,2,72000.0,0.0
O-000168,2026-04-23,LR-MSK-005,D2C Store,2,72000.0,0.0
O-000169,2026-04-23,LR-MSK-005,Amazon US,1,34200.0,1800.0
O-000170,2026-04-23,LR-MSK-005,Naver SmartStore,1,34200.0,1800.0
O-000171,2026-04-23,LR-MSK-005,Amazon US,1,32400.0,3600.0
O-000172,2026-04-23,LR-MSK-005,D2C Store,1,36000.0,0.0
O-000173,2026-04-23,LR-MSK-005,D2C Store,1,34200.0,1800.0
O-000174,2026-04-23,LR-MSK-005,Naver SmartStore,1,32400.0,3600.0
O-000175,2026-04-23,LR-MSK-005,Naver SmartStore,1,34200.0,1800.0
O-000176,2026-04-23,LR-TON-006,Amazon US,1,27900.0,3100.0
O-000177,2026-04-23,LR-TON-006,D2C Store,1,31000.0,0.0
O-000178,2026-04-23,LR-TON-006,D2C Store,1,24800.0,6200.0
O-000179,2026-04-23,LR-TON-006,Naver SmartStore,1,31000.0,0.0
O-000180,2026-04-23,LR-TON-006,Naver SmartStore,1,31000.0,0.0
O-000181,2026-04-23,LR-TON-006,D2C Store,2,58900.0,3100.0
O-000182,2026-04-23,LR-TON-006,D2C Store,3,83700.0,9300.0
O-000183,2026-04-23,LR-TON-006,D2C Store,1,31000.0,0.0
O-000184,2026-04-23,LR-TON-006,Kakao Gift,1,27900.0,3100.0
O-000185,2026-04-23,LR-TON-006,Naver SmartStore,1,24800.0,6200.0
O-000186,2026-04-23,LR-SER-007,Amazon US,1,30600.0,3400.0
O-000187,2026-04-23,LR-SER-007,D2C Store,1,30600.0,3400.0
O-000188,2026-04-23,LR-SER-007,Naver SmartStore,1,34000.0,0.0
O-000189,2026-04-23,LR-SER-007,Kakao Gift,1,28900.0,5100.0
O-000190,2026-04-23,LR-SER-007,D2C Store,1,28900.0,5100.0
O-000191,2026-04-23,LR-SER-007,D2C Store,1,32300.0,1700.0
O-000192,2026-04-23,LR-SER-007,D2C Store,1,28900.0,5100.0
O-000193,2026-04-23,LR-SER-007,D2C Store,1,30600.0,3400.0
O-000194,2026-04-23,LR-SER-007,D2C Store,2,61200.0,6800.0
O-000195,2026-04-23,LR-SER-007,D2C Store,1,28900.0,5100.0
O-000196,2026-04-23,LR-SER-007,Naver SmartStore,2,64600.0,3400.0
O-000197,2026-04-23,LR-SER-007,D2C Store,1,32300.0,1700.0
O-000198,2026-04-23,LR-SER-007,D2C Store,2,68000.0,0.0
O-000199,2026-04-23,LR-SER-007,Naver SmartStore,1,34000.0,0.0
O-000200,2026-04-23,LR-KIT-008,D2C Store,1,65550.0,3450.0
O-000201,2026-04-23,LR-KIT-008,Naver SmartStore,2,138000.0,0.0
O-000202,2026-04-23,LR-KIT-008,D2C Store,1,69000.0,0.0
O-000203,2026-04-24,LR-SHP-001,D2C Store,1,26100.0,2900.0
O-000204,2026-04-24,LR-SHP-001,Naver SmartStore,1,27550.0,1450.0
O-000205,2026-04-24,LR-SHP-001,D2C Store,3,82650.0,4350.0
O-000206,2026-04-24,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000207,2026-04-24,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000208,2026-04-24,LR-SHP-001,D2C Store,1,23200.0,5800.0
O-000209,2026-04-24,LR-SHP-001,Kakao Gift,1,29000.0,0.0
O-000210,2026-04-24,LR-SHP-001,D2C Store,1,24650.0,4350.0
O-000211,2026-04-24,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000212,2026-04-24,LR-SHP-001,D2C Store,1,24650.0,4350.0
O-000213,2026-04-24,LR-SHP-001,D2C Store,2,58000.0,0.0
O-000214,2026-04-24,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000215,2026-04-24,LR-SHP-001,Amazon US,1,29000.0,0.0
O-000216,2026-04-24,LR-SHP-001,Naver SmartStore,1,26100.0,2900.0
O-000217,2026-04-24,LR-SHP-001,D2C Store,2,58000.0,0.0
O-000218,2026-04-24,LR-SHP-001,Kakao Gift,1,29000.0,0.0
O-000219,2026-04-24,LR-SHP-001,Naver SmartStore,3,87000.0,0.0
O-000220,2026-04-24,LR-SHP-001,Amazon US,1,26100.0,2900.0
O-000221,2026-04-24,LR-SHP-001,Naver SmartStore,1,29000.0,0.0
O-000222,2026-04-24,LR-SHP-001,D2C Store,1,29000.0,0.0
O-000223,2026-04-24,LR-SHP-001,Naver SmartStore,1,29000.0,0.0
O-000224,2026-04-24,LR-SHP-001,Naver SmartStore,1,29000.0,0.0
O-000225,2026-04-24,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000226,2026-04-24,LR-CND-002,Naver SmartStore,2,48600.0,5400.0
O-000227,2026-04-24,LR-CND-002,D2C Store,1,22950.0,4050.0
O-000228,2026-04-24,LR-CND-002,Kakao Gift,1,25650.0,1350.0
O-000229,2026-04-24,LR-CND-002,D2C Store,2,54000.0,0.0
O-000230,2026-04-24,LR-CND-002,D2C Store,1,24300.0,2700.0
O-000231,2026-04-24,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000232,2026-04-24,LR-CND-002,D2C Store,1,22950.0,4050.0
O-000233,2026-04-24,LR-CND-002,D2C Store,1,27000.0,0.0
O-000234,2026-04-24,LR-CND-002,D2C Store,1,27000.0,0.0
O-000235,2026-04-24,LR-CND-002,Kakao Gift,1,21600.0,5400.0
O-000236,2026-04-24,LR-CND-002,Amazon US,1,21600.0,5400.0
O-000237,2026-04-24,LR-CND-002,D2C Store,1,27000.0,0.0
O-000238,2026-04-24,LR-CND-002,Naver SmartStore,2,54000.0,0.0
O-000239,2026-04-24,LR-CND-002,Naver SmartStore,2,54000.0,0.0
O-000240,2026-04-24,LR-CND-002,D2C Store,1,25650.0,1350.0
O-000241,2026-04-24,LR-CND-002,Naver SmartStore,1,27000.0,0.0
O-000242,2026-04-24,LR-CND-002,Naver SmartStore,2,54000.0,0.0
O-000243,2026-04-24,LR-CND-002,Naver SmartStore,1,22950.0,4050.0
O-000244,2026-04-24,LR-CND-002,D2C Store,1,27000.0,0.0
O-000245,2026-04-24,LR-TRT-003,Amazon US,1,37050.0,1950.0
O-000246,2026-04-24,LR-TRT-003,D2C Store,1,37050.0,1950.0
O-000247,2026-04-24,LR-TRT-003,Naver SmartStore,1,39000.0,0.0
O-000248,2026-04-24,LR-TRT-003,D2C Store,1,35100.0,3900.0
O-000249,2026-04-24,LR-TRT-003,D2C Store,1,33150.0,5850.0
O-000250,2026-04-24,LR-TRT-003,Amazon US,1,39000.0,0.0
O-000251,2026-04-24,LR-TRT-003,D2C Store,1,39000.0,0.0
O-000252,2026-04-24,LR-TRT-003,D2C Store,1,37050.0,1950.0
O-000253,2026-04-24,LR-TRT-003,D2C Store,3,99450.0,17550.0
O-000254,2026-04-24,LR-OIL-004,D2C Store,1,28800.0,3200.0
O-000255,2026-04-24,LR-OIL-004,D2C Store,1,30400.0,1600.0
O-000256,2026-04-24,LR-OIL-004,D2C Store,2,51200.0,12800.0
O-000257,2026-04-24,LR-OIL-004,Kakao Gift,1,32000.0,0.0
O-000258,2026-04-24,LR-OIL-004,Kakao Gift,1,27200.0,4800.0
O-000259,2026-04-24,LR-OIL-004,D2C Store,1,28800.0,3200.0
O-000260,2026-04-24,LR-OIL-004,Kakao Gift,2,60800.0,3200.0
O-000261,2026-04-24,LR-OIL-004,Naver SmartStore,1,32000.0,0.0
O-000262,2026-04-24,LR-OIL-004,D2C Store,3,91200.0,4800.0
O-000263,2026-04-24,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000264,2026-04-24,LR-OIL-004,D2C Store,1,32000.0,0.0
O-000265,2026-04-24,LR-OIL-004,D2C Store,1,28800.0,3200.0
O-000266,2026-04-24,LR-OIL-004,D2C Store,1,28800.0,3200.0
